"","crude","adj1","psm","adj2"
"dementia","0.74(0.26-2.08)",NA,"0.77(0.33-1.8)","0.75(0.3-1.86)"
"dementia_ad","NA(NA-NA)",NA,"NA(NA-NA)","NA(NA-NA)"
"dementia_vd","NA(NA-NA)",NA,"NA(NA-NA)","NA(NA-NA)"
"dementia_other","1(0.36-2.81)",NA,"1(0.43-2.31)","1(0.38-2.64)"
"parkinson","4.2(1.08-16.34)",NA,"3.14(0.65-15.03)","24.22(1.3-450.68)"
