"","crude","adj1","psm","adj2"
"dementia","0.91(0.44-1.88)","0.51(0.24-1.07)","0.77(0.33-1.8)","0.75(0.3-1.86)"
"dementia_ad","NA(NA-NA)","NA(NA-NA)","NA(NA-NA)","NA(NA-NA)"
"dementia_vd","NA(NA-NA)","NA(NA-NA)","NA(NA-NA)","NA(NA-NA)"
"dementia_other","1(0.49-2.05)","1(0.38-2.64)","1(0.43-2.31)","1(0.38-2.64)"
"parkinson","2.09(0.85-5.11)","2.28(0.49-10.66)","3.14(0.65-15.03)","24.22(1.3-450.68)"
