"","cci_full","cci_full_Adt","cci_full_NonAdt","cci_psm","cci_psm_Adt","cci_psm_NonAdt","age_full","age_full_Adt","age_full_NonAdt","age_psm","age_psm_Adt","age_psm_NonAdt"
"0%",0,2,0,2,2,2,42,42,42,42,42,45
"25%",2,2,2,2,2,2,60.5,62,60,61,62,61
"50%",2,2,2,2,2,2,65,65,64,65,65,65
"75%",2,2,2,2,2,2,67,67,67,67,67,67
"100%",9,9,9,9,9,9,69,69,69,69,69,69
