"","cci_full","cci_full_Adt","cci_full_NonAdt","cci_psm","cci_psm_Adt","cci_psm_NonAdt","age_full","age_full_Adt","age_full_NonAdt","age_psm","age_psm_Adt","age_psm_NonAdt"
"0%",2,2,2,2,2,2,70,70,70,70,70,70
"25%",2,2,2,2,2,2,71,72,71,71,72,71
"50%",2,2,2,2,2,2,73,74,73,73,74,73
"75%",3,2,3,2,2,2,76,76,75,76,76,75
"100%",9,8,9,8,8,8,79,79,79,79,79,79
